GEOID,NAME,tpop15,B01003_001M,black15,B02001_003M,hisp15,B03001_003M,blkpct15,hispct15
04001,"Apache County, Arizona",72124,NA,442,185,4547,NA,0.613,6.304
04007,"Gila County, Arizona",53165,NA,384,112,9869,NA,0.722,18.563
04009,"Graham County, Arizona",37407,NA,782,89,11882,NA,2.091,31.764
04011,"Greenlee County, Arizona",9023,NA,139,27,4242,NA,1.541,47.013
04012,"La Paz County, Arizona",20335,NA,40,39,5180,NA,0.197,25.473
04013,"Maricopa County, Arizona",4018143,NA,209789,2363,1209034,NA,5.221,30.089
04017,"Navajo County, Arizona",107656,NA,721,180,11905,NA,0.67,11.058
04019,"Pima County, Arizona",998537,NA,36123,1087,356589,NA,3.618,35.711
04021,"Pinal County, Arizona",389772,NA,17954,484,113394,NA,4.606,29.092
04023,"Santa Cruz County, Arizona",47073,NA,165,74,38965,NA,0.351,82.776
04025,"Yavapai County, Arizona",215996,NA,1285,172,30382,NA,0.595,14.066
04027,"Yuma County, Arizona",202987,NA,4300,328,124037,NA,2.118,61.106
12001,"Alachua County, Florida",254218,NA,50580,649,22548,NA,19.896,8.87
12003,"Baker County, Florida",27135,NA,3938,74,638,NA,14.513,2.351
12005,"Bay County, Florida",175353,NA,18881,525,9629,NA,10.767,5.491
12013,"Calhoun County, Florida",14615,NA,1963,141,815,NA,13.431,5.576
12017,"Citrus County, Florida",139654,NA,4179,387,7068,NA,2.992,5.061
12019,"Clay County, Florida",197417,NA,19275,802,17464,NA,9.764,8.846
12023,"Columbia County, Florida",67806,NA,12153,334,3649,NA,17.923,5.382
12031,"Duval County, Florida",890673,NA,261833,1538,74775,NA,29.397,8.395
12035,"Flagler County, Florida",100783,NA,11300,444,9671,NA,11.212,9.596
12037,"Franklin County, Florida",11628,NA,1692,135,577,NA,14.551,4.962
12041,"Gilchrist County, Florida",16992,NA,1037,65,864,NA,6.103,5.085
12045,"Gulf County, Florida",15785,NA,2837,196,761,NA,17.973,4.821
12047,"Hamilton County, Florida",14395,NA,4908,168,1322,NA,34.095,9.184
12053,"Hernando County, Florida",174809,NA,9405,416,19813,NA,5.38,11.334
12057,"Hillsborough County, Florida",1302884,NA,216735,2570,339540,NA,16.635,26.061
12059,"Holmes County, Florida",19635,NA,1372,96,530,NA,6.988,2.699
12063,"Jackson County, Florida",48900,NA,13078,149,2301,NA,26.744,4.706
12067,"Lafayette County, Florida",8801,NA,1596,265,1058,190,18.134,12.021
12077,"Liberty County, Florida",8295,NA,1371,256,598,190,16.528,7.209
12079,"Madison County, Florida",18729,NA,7250,142,921,NA,38.71,4.918
12081,"Manatee County, Florida",343729,NA,31903,616,53393,NA,9.281,15.533
12089,"Nassau County, Florida",75880,NA,4876,218,2819,NA,6.426,3.715
12101,"Pasco County, Florida",479288,NA,24301,754,62794,NA,5.07,13.102
12103,"Pinellas County, Florida",931477,NA,96133,1240,81072,NA,10.32,8.704
12105,"Polk County, Florida",626676,NA,94487,1155,120481,NA,15.077,19.225
12107,"Putnam County, Florida",72696,NA,11969,229,6861,NA,16.464,9.438
12109,"St. Johns County, Florida",210495,NA,11366,589,12435,NA,5.4,5.908
12115,"Sarasota County, Florida",392038,NA,18479,762,33485,NA,4.714,8.541
12119,"Sumter County, Florida",108501,NA,9051,217,6237,NA,8.342,5.748
12121,"Suwannee County, Florida",43595,NA,5901,209,3859,NA,13.536,8.852
12123,"Taylor County, Florida",22685,NA,4878,200,845,156,21.503,3.725
12127,"Volusia County, Florida",503719,NA,53036,906,60757,NA,10.529,12.062
